link;x;y;drtVehicles
-1092051612#1;796953.925;5823075.87;1
23507539#0;797338.31;5823547.574999999;1
-155605318;801778.795;5823269.93;1
36737687#3;798995.9550000001;5825070.02;1
-1110415991;796479.8600000001;5825648.985;6
-1056615867#4;791705.585;5826163.405;1
-1056615867#1;791661.675;5826322.95;2
26976439#0;794487.41;5825488.275;1
-26983671;801610.25;5826497.23;1
-53542202#0;796589.745;5830122.890000001;2
168903524#3;793267.615;5826115.37;1
168903524#2;793290.7949999999;5826147.32;1
4741948#0;800475.71;5827108.845000001;2
-53542202#1;796457.875;5830102.955;1
-4612410#0;798923.5349999999;5826948.97;2
-4612410#1;798888.745;5826818.72;4
110450329#0;798209.355;5825524.515000001;1
-54117008;796234.1;5829619.085;1
-1037625692#0;802888.615;5828182.6899999995;1
-183073681;800533.69;5826074.85;3
-666495565;802094.8200000001;5824749.715;1
-203910789#5;794156.9199999999;5828864.5649999995;2
-74868383;796300.09;5829077.6899999995;2
-203910789#3;793853.12;5828893.09;1
-155605341;801218.605;5823970.335;3
4446337#0;792412.8;5824036.285;1
-203910789#7;794384.54;5828843.455;3
-4381082#1;796506.135;5827702.17;2
-50481674#3;793436.705;5827460.015000001;2
1076523515#0;792437.165;5824132.33;1
-203910789#1;793651.605;5828913.845000001;1
-50481674#0;793538.905;5827708.695;6
-475841685;795955.145;5825881.535;3
-4612416;799297.69;5826994.175;1
-441788215;797664.15;5828764.11;3
186216342#3;801008.3200000001;5823766.135;3
186216342#2;800834.69;5823716.195;1
186216342#1;800737.03;5823687.535;1
-816236485#0;800750.385;5823101.365;3
-4612412;798831.3999999999;5826889.145;3
-730191117;795471.0700000001;5826650.65;5
1101406282#1;795016.85;5824327.945;2
1062070610#0;798946.8899999999;5825074.43;2
351704742#0;800957.075;5828538.325;6
738290009;800056.915;5827918.99;1
-448298620;793751.9450000001;5829231.23;2
166260139;796523.89;5827068.77;3
-25302636;798768.935;5828146.975;2
-1107180849;796219.01;5824452.07;4
-169660686#0;797509.9550000001;5828072.85;1
-4492015#2;793783.12;5825664.1;2
337540124;794793.1;5827111.995;10
279465959#0;801249.8400000001;5823650.4;1
-4612429;798805.86;5827029.32;2
-1072645816;801378.37;5826762.77;3
-23248190;791564.0800000001;5825839.425000001;1
431356092#0;801212.6799999999;5826535.75;1
764644570#1;800738.905;5823432.205;1
-4494994#2;801238.24;5825274.155;4
-168917748#1;795658.735;5824974.085;1
31621016;792178.165;5827130.225;1
-23813206;799049.355;5828304.855;2
-65707578#0;801574.3;5823585.449999999;2
-155605364;801834.125;5823413.425000001;1
-155594979;801376.81;5822873.925;1
-71089566;799025.9299999999;5825229.805;2
-71089569;798927.375;5825246.265000001;1
-217183438#1;795526.335;5828244.574999999;1
-4436795;793032.375;5824519.15;1
23851927;799039.89;5827576.74;2
391493957#0;797777.775;5824028.24;1
-1091806548;797595.125;5823157.765;2
-4688786#3;802912.605;5827234.984999999;1
-75909822#0;800487.0449999999;5824668.325;4
-172922876;797365.76;5829972.58;1
23851922;799020.49;5827518.35;1
-1109690557#2;793282.435;5823360.705;1
4705478;793515.5900000001;5829250.5;3
260235997#0;802003.67;5826893.155;1
-155605273;800693.05;5824255.725;1
-30130057;797576.315;5823579.8100000005;2
-1122284350;800058.02;5824930.17;2
-4615004#0;799944.21;5829316.84;1
182603253#6;794041.855;5827815.605;1
-32359106;793332.565;5826535.234999999;1
182603253#3;793893.8;5827899.23;1
182603253#2;793769.2949999999;5827969.165;1
182603253#0;793703.485;5828001.205;1
-796244040#0;796818.7150000001;5829165.75;1
-1100726698;793962.28;5827487.96;3
-155605265;800540.595;5823090.62;2
-645343613#0;795812.36;5829545.73;3
-4615004#7;800161.64;5829762.755000001;1
-645343613#1;795859.53;5829412.390000001;1
1083449372#0;801108.1950000001;5827850.109999999;2
-4615004#4;800071.3400000001;5829576.265000001;6
-1107953489;800301.245;5828696.795;1
-305422037#0;792972.095;5825990.25;3
-305422037#3;792966.3049999999;5825821.51;3
-1089672834#2;799485.51;5825138.390000001;8
-328426227#1;800175.4450000001;5826856.734999999;3
-140549156#2;800014.78;5825666.825;1
-153692984;797641.315;5828871.3100000005;2
-155605298;800383.235;5824070.6899999995;3
319492880#0;792390.7350000001;5824089.890000001;1
-155605295;801621.525;5824929.859999999;1
-645183212;798189.28;5831048.404999999;1
-23859719#2;799876.655;5826245.35;1
892180284#2;792339.12;5827231.925;1
-1107953483;800263.7549999999;5828554.555;5
-4615782#1;801453.415;5828508.16;2
-16571799#0;798543.0900000001;5829181.955;4
823947546#1;792883.42;5826093.375;1
-435715672;797603.9299999999;5822965.165;1
-435715671;797694.425;5823162.255000001;1
1100788309#2;792898.46;5825528.695;1
1104460750;799521.775;5828898.615;1
-4592212;794796.24;5829346.425;1
168889126#5;791800.58;5826954.25;2
4407115#0;793309.0700000001;5823744.390000001;1
-16571799#1;798629.0800000001;5829362.66;2
-155605272#1;802918.99;5826019.585;1
-155605272#0;802877.94;5825883.22;2
-153692996;797328.49;5829122.385;3
-1107953491;800376.88;5828781.98;3
964589559;801482.2350000001;5823156.97;1
-155605284;800586.085;5824502.075;1
-1083614744#2;801158.06;5828529.465;1
-155594998#1;800628.93;5822229.795;3
-1120678942;796987.69;5830833.885;6
195344060;800168.865;5826431.46;5
168889126#0;791847.6699999999;5826685.83;4
168889126#2;791828.135;5826807.13;1
-649959246#3;796579.7949999999;5827881.835;1
