link;x;y;drtVehicles
-1123795363;804161.4450000001;5829045.845000001;1
-23121614;801541.0149999999;5838002.84;1
-24403264#3;786676.735;5834183.0;1
1122784753#1;794315.095;5822425.495;1
10752302#0;793728.8049999999;5835231.015000001;1
-24403264#2;786599.0800000001;5834165.455;1
-1067984548;806029.245;5827842.66;2
-1109060014#0;814783.915;5821471.855;1
-10774519;812274.6950000001;5831469.4350000005;2
-24873920#0;812094.775;5826835.265;1
-83913804#2;781243.6799999999;5814863.57;1
-23738636#1;794548.29;5817104.1899999995;1
-4478004#1;784244.0;5816391.73;4
-148295051#2;793785.51;5817694.745;1
-4675254#4;794081.27;5834699.755;1
823947564#0;793096.735;5826094.654999999;1
-148295051#1;793696.77;5817517.585;4
-83913804#0;781004.5049999999;5814836.97;7
29433222#0;796559.55;5815796.475;1
-23008576#2;803356.39;5834023.335;3
-4675254#0;793739.69;5834589.51;1
42826410#3;789182.665;5829752.91;1
-1120546335;795313.125;5830230.755;1
-151742429;806596.6799999999;5815398.295;1
-26143264#1;808834.84;5827233.215;1
-201678613#0;785098.0900000001;5836762.390000001;2
-956953469#0;790327.66;5839367.295;1
-5000499;783861.56;5829002.574999999;1
-118361751#1;788346.64;5818830.02;1
-147563892#2;789368.885;5819296.365;1
-6229595;805508.725;5828086.29;2
-23557722#1;812121.355;5819240.18;1
-20397090#1;815400.98;5814821.16;1
-416556689#0;808395.9550000001;5829580.9399999995;1
57388246#1;781827.21;5830633.300000001;1
-44037895#2;812624.825;5826655.54;1
-35576598#1;784103.97;5831136.95;2
-395077041;809656.64;5820532.2;1
-700034140#0;799228.595;5814871.075;1
-4829627;799544.385;5817729.76;2
-22650470#0;813183.245;5824904.72;1
-1091024215;807995.65;5830552.3;1
-6082538#1;805221.75;5832576.475;1
-142964440#2;791663.3999999999;5820861.225;1
-28819510#3;789598.9450000001;5817152.495;2
-334308450;807979.565;5819289.904999999;3
-27841729#2;790886.915;5839170.495;1
-27841729#5;791217.0349999999;5838724.970000001;1
150936794;791352.925;5820587.8149999995;1
-4765660#1;793733.655;5836000.41;1
-1039582677#1;816195.5;5816552.725;5
-37290889#0;782108.2250000001;5831884.49;4
-148074513#1;792077.7;5818169.4399999995;2
-4765660#2;793950.31;5835797.675;1
-22374899;788189.175;5826932.11;1
-195430954;799332.885;5827193.82;1
-151742446;807203.595;5816533.585;1
529801426#0;793231.905;5818360.49;1
1098705476#0;809257.41;5827418.449999999;2
529801426#2;793315.9099999999;5818560.515;1
-1021414693#0;807042.75;5825393.25;2
-4495206#0;792123.435;5827017.12;1
-23546257;783826.49;5830924.515000001;1
-81414529#0;806246.3500000001;5817278.605;1
-81414529#1;806138.185;5817325.075;1
1079226109;810076.6599999999;5829539.31;2
-114433837#1;796677.0;5816644.305;1
-890911547;808207.235;5830453.0649999995;1
-9028861#1;809199.2;5831755.195;2
28658009;791324.4299999999;5830105.595;1
-55502709;797376.6599999999;5825740.6;1
-16307590;800339.785;5838823.9;3
-4686238#1;801798.1950000001;5824979.375;1
-26139332;804791.375;5831070.27;1
-10258856#4;809887.615;5833650.455;1
-10258856#3;809907.51;5833858.165;1
-9933012#0;783080.3;5827788.824999999;3
-9933012#1;782726.405;5827792.525;2
-977762573;796917.815;5828212.595000001;2
-1055082836;801537.755;5826848.33;5
-71960546#1;808354.495;5816200.59;1
-9359994;791218.075;5841633.02;2
-836498493;799948.7949999999;5821581.71;1
-24518819;813029.05;5827882.8149999995;1
4615031#0;800510.27;5829966.25;1
114381386#2;798952.02;5814720.835;1
-4678206#4;792869.255;5834573.914999999;1
-4678206#6;793045.075;5834838.465;1
-151237827#0;814023.185;5821369.220000001;1
-25888940#1;813166.855;5825077.64;1
-4376921#2;795356.1599999999;5827758.0649999995;2
245198490#0;799168.395;5824559.324999999;2
-45105241#1;796449.06;5818645.41;3
-605914559#6;817550.065;5817693.415;1
-4684109;802635.94;5837191.640000001;1
