Stop ID,Link ID,X,Y
56125,56125,4592729.9892375,5823187.735446464
79887,79887,4588948.386845807,5818060.583578088
86327,86327,4598720.453749082,5819016.128987475
74761,74761,4597155.9323735675,5822070.862927418
11619,11619,4590182.549528181,5820339.545343644
74671,74671,4589321.836599276,5821558.533158067
131207,131207,4595834.400847088,5822011.698738118
19364,19364,4592741.850725491,5816996.81884941
83427,83427,4598441.253690342,5822229.471680928
133449,133449,4590751.921990434,5820638.857920478
95189,95189,4598212.097797008,5817826.114433693
121386,121386,4597600.4105389165,5820368.795969548
pt_40290,pt_40290,4597581.302930078,5817409.348744343
2696,2696,4592030.150473012,5819470.130221462
59825,59825,4587048.550633609,5820077.051308585
115762,115762,4593622.797560889,5820499.513942639
104494,104494,4589300.627832794,5822728.140204825
28128,28128,4590372.168565213,5823082.062657583
61234,61234,4594094.400992955,5816474.132490771
7586,7586,4589995.2967871195,5818590.833315922
pt_43115,pt_43115,4589001.253093935,5820661.292000133
16380,16380,4598290.8934857,5818512.786995431
61260,61260,4594053.898057938,5817235.146439522
147186,147186,4589545.471636638,5818391.235281954
pt_40355,pt_40355,4596239.273726933,5819731.298736273
131096,131096,4591190.018846723,5817884.613903558
101427,101427,4591411.909088769,5822318.036454684
10363,10363,4589951.489025223,5821135.133954784
72732,72732,4593318.874238499,5824290.2659842
10830,10830,4591391.366476595,5819876.640329568
53453,53453,4597018.327185679,5824011.108728246
121958,121958,4599556.577727148,5820326.088238429
52874,52874,4593931.135476241,5820991.188728183
94896,94896,4597078.754318736,5820316.55572188
61217,61217,4593281.311799833,5816900.159638724
153892,153892,4595202.830901028,5822756.6970198285
104612,104612,4588755.357483615,5822085.155259166
pt_39780,pt_39780,4590511.269442534,5819791.344893136
22711,22711,4588120.198609246,5820939.42997508
pt_122,pt_122,4594384.243357828,5821337.304471335
122959,122959,4597979.067844824,5817837.875858954
31372,31372,4596120.4946374465,5822456.915073841
29522,29522,4595375.276513319,5818733.576822971
135963,135963,4594244.95809632,5817774.8773445245
44742,44742,4590356.470468779,5822024.070183693
6175,6175,4596606.602662998,5824014.069576874
4509,4509,4596256.972029413,5821234.663192322
47417,47417,4588545.194217812,5821062.74414352
22715,22715,4588057.768593843,5821480.347029459
68126,68126,4598032.477618945,5816442.163797185
99650,99650,4591717.522359974,5822983.027683993
153474,153474,4595017.495796232,5820650.315209044
28259,28259,4589984.870383929,5818475.1055686
90817,90817,4597238.92876838,5816263.804596547
66381,66381,4592374.908776714,5818127.260834514
25578,25578,4596428.431146224,5819494.647438253
pt_43156,pt_43156,4596618.260275178,5821750.37598304
35372,35372,4597643.623929492,5820891.222135155
108518,108518,4593786.320321512,5821632.28920306
138640,138640,4589784.894644303,5821218.121111038
22924,22924,4588379.764222247,5821700.572625454
15474,15474,4593657.465985307,5817162.30718221
92374,92374,4593367.354028746,5823573.885006446
122399,122399,4596290.127138931,5819177.398451522
104450,104450,4591114.2702745125,5823185.274836826
pt_42567,pt_42567,4591542.242422071,5821612.335063807
26112,26112,4589262.144584873,5818215.463502556
56119,56119,4592589.404282194,5823386.936739559
137668,137668,4592464.958130355,5817181.788918288
92550,92550,4595753.407248866,5821374.516758307
70221,70221,4589013.461330397,5817970.147205875
pt_38717,pt_38717,4589703.241418972,5822509.3162907595
pt_42685,pt_42685,4598910.301119509,5822737.355483915
41268,41268,4589268.592674743,5818384.666296298
92068,92068,4591765.261586217,5818998.43079399
147093,147093,4589448.882933445,5817292.137365963
pt_269,pt_269,4589391.24665518,5818261.267232038
133792,133792,4593304.332562784,5820278.717697044
31849,31849,4597232.73972611,5819439.494720486
40315,40315,4589345.172584073,5817549.8484965805
20769,20769,4594818.274611996,5823710.4900421435
157937,157937,4597652.865991505,5817710.646230931
63004,63004,4594823.633332979,5818048.435514874
74357,74357,4590258.700556336,5821090.16784039
137345,137345,4587998.862908302,5819075.003792516
118492,118492,4599021.104823241,5820618.643810155
34448,34448,4597009.398312037,5821939.506251113
76127,76127,4595310.803949312,5823209.628850331
14283,14283,4593248.783747266,5820430.099500293
42839,42839,4597172.475852896,5822211.077247789
pt_373,pt_373,4588490.243075719,5818740.250692377
pt_4368,pt_4368,4598079.321444252,5818572.358200972
10827,10827,4591642.27580432,5819796.838538256
134232,134232,4597462.847519567,5822101.055073505
52552,52552,4597199.596889903,5816376.48569671
pt_40231,pt_40231,4590541.237127092,5817931.284823375
45280,45280,4591008.638714169,5818743.903157333
148276,148276,4590791.8302258365,5823063.284350721
134303,134303,4598689.248740063,5816601.216423756
139729,139729,4599146.531095259,5821233.1583236605
70955,70955,4593677.68596607,5822500.623111912
78253,78253,4588130.747350164,5819060.875345071
97933,97933,4594908.613139478,5820846.2506225975
33184,33184,4596183.471780026,5823013.674799092
74395,74395,4593128.546289664,5821750.071083442
pt_4144,pt_4144,4592294.277936561,5817952.247630873
34744,34744,4598291.26346478,5821900.213501254
49240,49240,4590095.500551654,5819653.3392789615
109829,109829,4596870.3183209,5818053.652536343
17313,17313,4597125.360706217,5815949.618329101
31994,31994,4595986.804946792,5821612.33391747
730,730,4593862.649650781,5820664.06203165
91888,91888,4593761.711732759,5816955.926190133
pt_38593,pt_38593,4588884.259735091,5819352.321299794
33495,33495,4588475.576640703,5822698.850800262
52785,52785,4591242.465402332,5819592.971671518
61289,61289,4593349.521822262,5817173.95123631
pt_38368,pt_38368,4597639.280593903,5823304.274687025
83439,83439,4597746.111954911,5823433.090186244
28669,28669,4590458.71808551,5822384.467490941
82496,82496,4591183.655436036,5817379.949831428
55526,55526,4590048.389836926,5819133.627435419
78198,78198,4590471.454173603,5818825.386459248
151697,151697,4593488.6427069595,5816922.457791143
26216,26216,4597255.293621784,5818690.589616665
147668,147668,4596118.524803305,5820369.784057896
29236,29236,4594988.543589646,5821078.745776276
128605,128605,4599610.513169042,5821553.752468872
127132,127132,4592966.347889451,5822093.988733728
pt_42956,pt_42956,4593306.262064045,5818570.335061748
1592,1592,4596284.43539796,5817324.045475075
50849,50849,4595197.661417725,5822772.948211653
13653,13653,4590770.871669116,5821673.492635344
65003,65003,4598957.392667015,5819057.579679687
91054,91054,4594634.563551908,5822509.288653444
157606,157606,4597816.917162416,5820129.145573826
84745,84745,4591049.641416853,5818527.012870053
39035,39035,4594399.0150435185,5819602.240247184
86338,86338,4597766.085314881,5819555.796733258
5820,5820,4599907.142576969,5820934.569560154
31368,31368,4595888.987164771,5822564.971930631
147661,147661,4596530.463715094,5820348.57746669
pt_2383,pt_2383,4597369.305329678,5822092.27235502
145226,145226,4591035.633403053,5822247.298216602
30199,30199,4594977.362527187,5819486.598549678
150370,150370,4597658.297431841,5820281.198851037
18955,18955,4598220.327435343,5817836.6311625745
72477,72477,4593617.505400928,5818417.836249111
122519,122519,4588131.989813523,5820841.792679331
3776,3776,4598921.162019752,5819210.160721311
8748,8748,4594249.875545716,5817597.332756984
15390,15390,4594474.5421613455,5824424.654542472
24501,24501,4592707.650102623,5819501.485950501
26132,26132,4597895.262772996,5817209.271462227
pt_2335,pt_2335,4597308.277095364,5821161.267323517
63665,63665,4591431.102662223,5821651.111262543
pt_5719,pt_5719,4594331.244998652,5817601.277746953
126387,126387,4597313.838193978,5821188.671492733
18386,18386,4589401.553019169,5821929.113861576
78047,78047,4593001.646140172,5822358.729182231
11087,11087,4593615.314001268,5818200.385146915
84719,84719,4591073.986232063,5818387.806966359
15391,15391,4594467.478648945,5824412.997616265
16245,16245,4593484.52629069,5817082.608659798
81675,81675,4596745.728807685,5823859.6754345745
67515,67515,4595912.649811019,5823697.063744275
93856,93856,4594037.757158252,5821412.270363692
121236,121236,4598417.313682523,5822350.534016482
pt_3515,pt_3515,4598354.265497489,5818004.267235823
11999,11999,4588870.145607113,5820649.698192315
