link;x;y;drtVehicles
-1101961737;798265.095;5827786.3149999995;2
-975295127;801555.2250000001;5825584.785;4
-4611775#0;798030.0800000001;5826197.62;1
1126345563;800259.02;5827263.355;1
-39487917;795989.695;5828674.41;1
-35578557;798199.015;5827952.984999999;1
-975295126;801654.495;5825774.109999999;1
-1093597997;802429.9550000001;5828393.905;1
-4395631;793571.89;5824268.11;2
-23707866#1;795808.125;5829633.824999999;2
-42732333;797621.05;5830146.045;1
-42732334;797284.1950000001;5829963.324999999;1
4740762#0;798007.74;5830129.465;2
-4395630;793673.81;5824646.6850000005;1
-23707866#0;795745.825;5829667.369999999;1
-1107180851#1;795328.77;5824080.715;2
823947564#0;793096.735;5826094.654999999;1
1020077809;797621.65;5828620.845;1
-172274268#0;800406.66;5825506.045;3
-1101405291;798038.355;5829676.22;1
24619227#0;792755.395;5827021.385;1
-1052758758;798746.54;5829413.775;1
-35433912;794150.3500000001;5827414.41;1
-297058655;801513.37;5823077.925;1
-715711017;801547.38;5825724.91;1
4389552;796232.845;5828686.225;2
1100552764#1;795923.525;5824421.585;1
-1052756577;798998.105;5829464.529999999;1
-1082327495;802159.005;5826239.955;1
-36830353#2;795031.8600000001;5829179.470000001;1
-722013115;797416.085;5823850.645;2
-625928996#2;801588.375;5828267.195;1
-24320623;792307.05;5826392.4;1
-4412868;797780.4;5827723.705;1
-36739044#0;801937.81;5824079.36;1
-32977013#2;800101.875;5826159.2;4
4475632#0;791424.01;5827391.18;2
312533961#0;799713.105;5827800.91;1
-485472400;802053.72;5828855.225;1
4449438#0;794066.05;5825162.119999999;2
-202817674#2;798708.325;5827627.0600000005;1
-437325045;792620.655;5828268.74;1
1081349077;802850.665;5826098.859999999;2
-95926536#2;799027.37;5826315.1850000005;2
-1041197919#0;802867.27;5827858.375;1
-4611905#1;798317.595;5825057.96;1
-37826586;792982.3;5823835.795;1
-919305045;800934.405;5829912.235;1
-33491648;792576.085;5828055.63;2
-106655154;791734.71;5827093.955;1
-274754088;796819.2350000001;5829011.025;5
-980542375;798257.5449999999;5828764.415;1
-195430953;799392.625;5827138.225;1
109612315#0;792822.79;5826772.86;1
-25008074;800377.52;5827509.77;1
109612315#4;792563.845;5826724.5600000005;4
-4500151;793339.365;5824056.13;1
-195430959;799634.6599999999;5827210.7;1
-4611860#1;797157.5549999999;5826323.415;1
593851998#3;797808.31;5822981.115;14
111648287#3;800316.72;5824705.890000001;1
-1120409881;802350.7;5825321.8149999995;1
-4500153;793381.45;5825313.53;3
-496503270#0;802678.535;5826668.484999999;2
-496503270#1;802746.895;5826634.82;1
-194069450#2;797743.44;5827546.734999999;1
4782467#0;801530.385;5829084.285;1
-4892696;799748.21;5825938.305;2
-625647965#2;799173.25;5827050.029999999;1
318888121#0;794454.9450000001;5825451.465;1
-109612314#0;793067.87;5826261.055;1
33280304#0;793184.905;5824545.1;1
-320462163#2;797115.11;5827323.46;5
114667396#0;797972.3300000001;5827753.79;1
33280304#2;793121.025;5824504.53;1
